,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,铁（Hg2599）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）
59,60,8,2G07-4,mc8-13,0.1201,-0.0067,0.0295,-0.0081,-0.0074,0.1136,0.0004,7.955,0.0003,0.0005,0.0056,-0.1143,0.0047,1.724,1.555,1.938,-0.0057,-0.0551,9.968,^ *****,3.806,^ *****,2.105,0.2537,0.021,-0.0119,0.0237,36.75,45.88,-0.007,0.0025,1.385,0.2911,0.6326,0.0573,-0.009,0.2,0.3387,0.1276,0.0173,0.0057,-0.0008,0.2615
60,61,8,2G07-7,mc8-14,0.175,-0.0056,0.0384,-0.0048,-0.0056,0.1452,0.0004,9.47,0.0003,0.0005,0.0056,-0.1085,0.0045,2.042,1.87,2.297,-0.0056,-0.0494,11.41,^ *****,5.771,^ *****,3.419,0.3901,0.0665,-0.015,0.0159,40.21,50.03,-0.0024,0.0029,1.35,0.2812,0.6061,0.0675,-0.0049,0.2157,0.3672,0.1403,0.0187,0.0064,-0.0006,0.2852
61,62,8,2G08-4,mc8-15,0.0175,0.0019,0.0704,0.007,-0.0016,0.1433,0.0003,11.32,0.0,-0.0002,0.0049,-0.1237,0.0091,1.13,1.006,1.295,-0.0035,-0.0452,11.9,^ *****,5.465,^ *****,3.164,0.3214,0.0276,-0.0061,0.0144,37.91,47.05,0.0189,-0.0005,0.8576,0.1802,0.395,0.0434,-0.0095,0.2076,0.3597,0.1406,0.0096,0.0042,-0.0009,0.2663
62,63,8,2G10-1,mc8-16,1.62,-0.0021,0.0366,-0.0057,-0.0018,0.1205,0.0006,7.858,0.0006,0.0023,0.01,-0.1216,0.0075,5.66,5.3,6.214,-0.0061,-0.0463,12.4,^ *****,5.115,^ *****,3.009,0.3827,0.0493,0.0124,0.0337,61.29,76.19,0.01,0.0009,0.8723,0.1629,0.363,0.1666,-0.0101,0.1599,0.2842,0.1069,0.0926,0.0293,0.0023,0.2869
63,64,8,2G10-4,mc8-17,0.0362,-0.0063,0.0645,0.0033,-0.0026,0.1427,0.0003,13.72,0.0003,0.0003,0.0052,-0.1192,0.0115,1.267,1.14,1.446,-0.0057,-0.0536,11.72,^ *****,4.439,^ *****,2.5,0.5286,0.0157,-0.0147,0.0202,43.91,54.21,-0.0027,0.0033,0.9572,0.1978,0.4327,0.0455,-0.0078,0.2163,0.3705,0.1415,0.0168,0.0059,-0.0009,0.2376
64,65,8,2G10-7,mc8-18,-0.0235,-0.0061,0.0363,-0.0057,-0.0072,0.153,0.0003,7.795,0.0008,0.0007,0.0059,-0.125,0.0082,1.036,0.9134,1.184,-0.006,-0.0522,10.77,^ *****,4.933,^ *****,2.822,0.5292,0.01,-0.0175,0.0456,37.43,46.41,-0.003,0.0023,0.3857,0.048,0.1339,0.0382,-0.0096,0.2013,0.3416,0.1263,0.0076,0.0034,-0.0008,0.2009
65,66,8,2G11-1,mc8-19,0.6856,-0.0038,0.0264,-0.0114,-0.0047,0.1242,0.0005,7.145,0.0007,0.002,0.0081,-0.1025,0.0015,4.809,4.424,5.157,-0.0059,-0.0586,11.06,^ *****,4.693,^ *****,2.677,1.222,0.0691,-0.0123,0.0262,51.17,63.87,-0.0003,0.0036,1.345,0.2666,0.588,0.134,0.0017,0.1855,0.3221,0.1175,0.0437,0.0134,0.0012,0.2381
66,67,8,2G11-4,mc8-20,1.193,-0.0033,0.0129,-0.0161,-0.0049,0.0718,0.0007,6.745,0.0009,0.002,0.0126,-0.0912,0.0056,6.491,6.096,7.236,-0.0057,-0.058,10.72,^ *****,4.975,^ *****,2.843,0.2009,0.0754,-0.0142,0.0404,88.07,111.6,0.0111,0.0016,1.02,0.1894,0.4284,0.1781,-0.0047,0.1134,0.2113,0.0757,0.0854,0.0255,0.0016,0.31
67,68,8,2G11-7,mc8-21,0.6056,-0.0053,0.0465,-0.0034,-0.0044,0.2259,0.0004,9.739,0.0004,0.001,0.0069,-0.1067,0.0025,2.932,2.679,3.256,-0.0057,-0.0472,8.29,^ *****,4.604,^ *****,2.619,0.491,0.0459,-0.012,0.022,31.79,39.64,-0.0024,0.002,0.8666,0.1656,0.378,0.0869,-0.004,0.2671,0.4469,0.167,0.0428,0.0125,0.0001,0.3136
68,69,8,2G12-1,mc8-22,0.0237,-0.0058,0.0232,-0.009,-0.0087,0.1756,0.0003,8.654,0.0005,0.0004,0.0049,-0.1264,0.0041,1.186,1.061,1.355,-0.0061,-0.0535,9.914,^ *****,4.812,^ *****,2.724,0.838,0.0164,-0.014,0.031,34.87,43.48,-0.0063,0.003,1.104,0.231,0.5077,0.0427,-0.008,0.2568,0.4322,0.1634,0.0107,0.0043,-0.0005,0.2672
69,70,8,2G12-4,mc8-23,0.5254,-0.0053,0.0396,-0.0041,-0.0049,0.2225,0.0003,8.091,0.0003,0.001,0.0067,-0.1286,0.005,2.661,2.46,2.994,-0.0063,-0.0493,9.486,^ *****,8.818,1.24,5.531,1.849,0.026,-0.0127,0.0227,43.66,54.55,-0.0065,0.0033,1.167,0.2452,0.5322,0.0798,-0.0032,0.2591,0.4389,0.1665,0.0236,0.0081,0.0011,0.2337
70,71,8,2G12-7,mc8-24,0.4035,-0.0062,0.0333,-0.004,-0.0054,0.2163,0.0004,9.707,0.0003,0.0007,0.0066,-0.1045,0.0108,2.333,2.172,2.651,-0.0055,-0.0427,7.804,45.56,4.985,0.6591,2.827,0.3082,0.0185,0.0308,0.0479,32.62,40.29,-0.003,0.0016,0.8062,0.1511,0.3335,0.0772,-0.0022,0.3247,0.5482,0.2154,0.0269,0.0089,-0.0003,0.3746
71,72,8,2G14-1,mc8-25,0.2526,-0.0059,0.028,-0.0065,-0.0063,0.1217,0.0001,11.09,0.0004,0.0006,0.0062,-0.1028,0.0054,2.118,1.961,2.411,-0.0065,-0.0458,7.26,41.9,6.953,0.9859,4.29,3.455,0.0336,-0.0119,0.0244,42.58,52.96,-0.022,0.005,0.9161,0.1909,0.4137,0.0694,0.0172,0.2544,0.4336,0.1685,0.02,0.007,0.0012,0.25
72,73,8,2G14-4,mc8-26,0.4276,-0.0059,0.0153,-0.01,-0.0081,0.1068,0.0004,5.738,0.0003,0.0008,0.0067,-0.1313,-0.0004,2.48,2.285,2.789,-0.0059,-0.0417,5.726,33.14,3.196,0.3895,1.679,0.543,0.0122,-0.0157,0.0347,21.33,26.3,-0.0042,0.0009,1.102,0.2353,0.5155,0.0761,-0.0126,0.1722,0.2939,0.1113,0.0253,0.0082,0.0,0.1511
73,74,8,2G15-1,mc8-27,2.079,-0.0033,0.0371,-0.0097,0.0021,0.2296,0.0008,12.45,0.0015,0.0041,0.017,-0.0621,0.0038,9.482,8.994,10.57,-0.0057,-0.0561,9.345,^ *****,5.483,^ *****,3.265,1.063,0.0313,-0.0172,0.0563,31.39,39.1,0.0125,0.0034,1.3,0.2656,0.5817,0.2625,0.014,0.3318,0.5634,0.2117,0.1068,0.0337,0.0038,0.2075
74,75,8,2G15-7,mc8-28,-0.1873,-0.0062,-0.0107,-0.0145,-0.0146,0.0057,0.0003,0.3481,-0.0002,-0.0005,0.0036,-0.1567,-0.0078,-0.3613,-0.3715,-0.347,-0.0058,-0.0234,0.0099,0.1234,0.1682,0.0081,0.0827,0.0023,0.003,-0.018,0.0267,0.1004,0.1219,0.0019,-0.0019,0.0897,-0.0064,0.0064,0.0058,-0.0243,0.002,0.0046,0.0006,0.0017,0.0017,-0.0014,0.1305
75,76,8,2G16-1,mc8-29,0.2076,-0.0051,0.0187,-0.0115,-0.0087,0.1137,0.0004,5.415,0.0001,0.0005,0.0063,-0.1331,0.0048,1.778,1.604,1.991,-0.006,-0.0567,8.231,^ *****,3.465,^ *****,1.929,0.2686,0.0184,-0.0087,0.02,37.57,46.89,-0.0059,0.0029,1.142,0.229,0.5061,0.0604,-0.0156,0.1329,0.2294,0.0849,0.0158,0.0055,-0.0006,0.2561
76,77,8,2G18-1,mc8-30,0.3383,-0.004,0.0282,-0.0087,-0.0067,0.1038,0.0004,6.378,0.0005,0.0016,0.0071,-0.1318,0.0044,2.666,2.438,2.969,-0.0062,-0.0524,9.929,^ *****,4.312,^ *****,2.462,1.506,0.0504,-0.0162,0.0792,46.29,58.19,-0.0038,0.0032,1.25,0.2527,0.557,0.0822,-0.0043,0.2385,0.4032,0.1504,0.0205,0.0068,0.0006,0.2274
77,78,8,2G18-4,mc8-31,0.0631,-0.0051,0.0204,-0.0105,-0.0095,0.1054,0.0004,10.58,0.0001,0.004,0.0084,-0.1328,0.007,1.013,0.8925,1.167,-0.0059,-0.0552,8.557,^ *****,8.78,^ *****,5.538,0.6283,0.0107,-0.0149,0.0471,30.51,38.36,0.0005,0.0025,0.8329,0.1496,0.3426,0.0412,-0.0138,0.2862,0.4752,0.1794,0.0122,0.0047,-0.0007,0.1982
78,79,8,2G18-7,mc8-32,1.214,-0.0038,0.0188,-0.0138,-0.0039,0.1184,0.0006,6.394,0.0013,0.0029,0.0128,-0.0801,0.0111,5.949,5.73,6.73,-0.0061,-0.0612,11.66,^ *****,4.861,^ *****,2.739,1.02,0.0428,-0.0141,0.1234,44.86,56.65,0.0064,0.0034,0.7568,0.1368,0.3139,0.1751,0.0107,0.1661,0.2876,0.109,0.0599,0.019,0.0018,0.8102
79,80,8,2G22-1,mc8-33,1.03,-0.0042,0.0492,-0.0034,0.0014,0.0873,0.0006,14.12,0.0009,0.0027,0.0131,-0.0828,0.0106,6.47,6.283,7.211,-0.0058,-0.0566,8.412,^ *****,6.205,^ *****,3.675,0.248,0.0141,-0.0137,0.043,43.55,54.48,0.0101,0.0023,1.104,0.2368,0.5112,0.1965,0.0031,0.2754,0.4686,0.1824,0.0459,0.0153,0.0011,0.3031
80,81,8,2G22-4,mc8-34,0.4841,-0.0047,0.0563,0.002,-0.0009,0.2824,0.0005,14.01,0.0003,0.0011,0.0071,-0.1179,0.0033,3.514,3.312,3.978,-0.0055,-0.0471,7.499,43.66,6.093,^ *****,3.628,0.2064,0.0125,-0.0118,0.0222,18.63,23.1,0.0021,0.0013,1.581,0.3397,0.7131,0.1103,-0.0104,0.4579,0.7652,0.3079,0.0277,0.0093,0.0,0.2376
81,82,8,2G22-7,mc8-35,0.2589,-0.0057,0.0271,-0.008,-0.0064,0.1045,0.0004,12.45,0.0003,0.0006,0.0066,-0.1122,0.0078,2.474,2.302,2.807,-0.0056,-0.0538,10.11,^ *****,4.824,0.6399,2.761,0.1611,0.0127,-0.0136,0.0198,39.2,49.18,-0.0014,0.0034,1.375,0.3067,0.6573,0.0809,-0.0087,0.3002,0.5054,0.1988,0.0173,0.0063,-0.0005,0.2431
