,序号,养殖场,牛号,样品号,组织,砷（As1937）,铅（Pb1822）,镉（Cd2144）,铬（Cr2843）,铜（Cu2247）,钴（Co2378）,镍（Ni2216）
59,60,茂县茂兴,2,mxmxgz2,肝脏,0.0579981290926099,0.325537885874649,0.186155285313377,0.0804490177736202,5.43685687558466,0.0458372310570627,-0.0252572497661366
60,61,茂县茂兴,3,mxmxgz3,肝脏,0.0413145539906103,0.436619718309859,0.166197183098592,-0.0985915492957747,8.34647887323944,0.0394366197183099,-0.00845070422535211
61,62,茂县茂兴,1,mxmxsz1,肾脏,0.0571428571428571,0.646666666666667,1.17238095238095,-0.127619047619048,4.48285714285714,0.0314285714285714,-0.00761904761904762
62,63,茂县茂兴,2,mxmxsz2,肾脏,0.0507848568790397,0.350877192982456,1.20960295475531,-0.0544783010156971,6.27793167128347,0.038781163434903,-0.0803324099722992
63,64,茂县茂兴,3,mxmxsz3,肾脏,0.0595783684692942,0.719523373052246,0.569202566452796,-0.0320806599450046,5.07699358386801,0.0284142988084326,0.0146654445462878
64,65,松潘雄山,1,spxsbj1,背肌,0.0305838739573679,0.00278035217794254,-0.00185356811862836,-0.424467099165894,1.34476367006488,0.0157553290083411,-0.151065801668211
65,66,松潘雄山,2,spxsbj2,背肌,0.0099403578528827,-0.025844930417495,-0.00198807157057654,-0.65506958250497,2.27435387673956,0.0198807157057654,-0.234592445328032
66,67,松潘雄山,3,spxsbj3,背肌,0.0227722772277228,-0.0168316831683168,-0.00198019801980198,-0.737623762376238,3.77821782178218,0.0108910891089109,-0.107920792079208
67,68,松潘雄山,1,xpxstj1,腿肌,0.0207156308851224,-0.0225988700564972,0.0263653483992467,-0.546139359698682,1.67796610169492,0.0169491525423729,-0.23728813559322
68,69,松潘雄山,2,xpxstj2,腿肌,0.00551977920883165,-0.0248390064397424,0.121435142594296,-0.459981600735971,31.1775528978841,0.0634774609015639,-0.589696412143514
69,70,松潘雄山,3,xpxstj3,腿肌,0.0236686390532544,-0.0315581854043393,-0.0029585798816568,-0.776134122287969,1.79191321499014,0.0118343195266272,-0.150887573964497
70,71,松潘雄山,1,spxsgz1,肝脏,0.021379980563654,-0.0165208940719145,0.0689990281827017,-0.255587949465501,4.17687074829932,0.0427599611273081,-0.412050534499514
71,72,松潘雄山,2,spxsgz2,肝脏,0.00829493087557604,-0.0313364055299539,-0.00276497695852535,-0.710599078341014,1.51428571428571,0.0202764976958525,-0.206451612903226
72,73,松潘雄山,3,spxsgz3,肝脏,0.011070110701107,0.000922509225092251,0.0608856088560886,-0.394833948339483,2.73616236162362,0.0322878228782288,-0.231549815498155
73,74,松潘雄山,1,spxssz1,肾脏,0.0159774436090226,-0.0319548872180451,0.296052631578947,-0.441729323308271,2.94172932330827,0.0968045112781955,-0.226503759398496
74,75,松潘雄山,2,spxssz2,肾脏,0.0262901655306719,-0.0126582278481013,0.585199610516066,-0.588120740019474,2.86173320350536,0.0827653359298929,-0.14508276533593
75,76,松潘雄山,3,spxssz3,肾脏,0.0182166826462128,0.00287631831255992,0.814956855225312,-0.648130393096836,3.89453499520614,0.0575263662511985,-0.177372962607862
